"work_order","file_id","filename","page_count","canonical_doc_type","source_header_doc_type","route","product_tier","routing_status","routing_reason","issuer","source_sha256","txt_path","pdf_path","image_dir","grid_path"
"1","SRC499","Regulatory_SEC_Form_13F_Institutional_Manager_Holdings.pdf","14","Schedule_Inv","Regulatory","06-statements-and-economics","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","US Securities and Exchange Commission","ba6065b13267d105fd49f7a47eb24962ad4755cd2dee8d445331432ab1e4ed42","data/documents/txt/Regulatory_SEC_Form_13F_Institutional_Manager_Holdings.txt","data/documents/pdf/Regulatory_SEC_Form_13F_Institutional_Manager_Holdings.pdf","data/documents/images/Regulatory_SEC_Form_13F_Institutional_Manager_Holdings","data/documents/grids/Regulatory_SEC_Form_13F_Institutional_Manager_Holdings.csv"
"2","SRC187","Fee_Report_CalPERS_AB2833_Alternative_Investments_Nov2023.pdf","3","Fee_Report","Fee_Report","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","California Public Employees' Retirement System (CalPERS)","dd0160c92ca84002d7c4a66476337192da8be437f26116fb35321964776fb01e","data/documents/txt/Fee_Report_CalPERS_AB2833_Alternative_Investments_Nov2023.txt","data/documents/pdf/Fee_Report_CalPERS_AB2833_Alternative_Investments_Nov2023.pdf","data/documents/images/Fee_Report_CalPERS_AB2833_Alternative_Investments_Nov2023","data/documents/grids/Fee_Report_CalPERS_AB2833_Alternative_Investments_Nov2023.csv"
"3","SRC314","Valuation_Augmentum_Fintech_Portfolio_Valuation_Mar2026.pdf","3","Valuation","Valuation","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Augmentum Fintech plc (independent valuation report)","1c5c98ac1422e0c451f7616487bb7a6ad10bbf7dbebc0b857cd8dd461547cc72","data/documents/txt/Valuation_Augmentum_Fintech_Portfolio_Valuation_Mar2026.txt","data/documents/pdf/Valuation_Augmentum_Fintech_Portfolio_Valuation_Mar2026.pdf","data/documents/images/Valuation_Augmentum_Fintech_Portfolio_Valuation_Mar2026","data/documents/grids/Valuation_Augmentum_Fintech_Portfolio_Valuation_Mar2026.csv"
"4","SRC248","NAV_Statement_SREIT_NAV_Supplement_Jun2024.pdf","4","NAV_Statement","NAV_Statement","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Starwood Real Estate Income Trust, Inc.","f85467d43c88fb8d331b6e29ec933572f72359d97d7db21a56b084c344da117a","data/documents/txt/NAV_Statement_SREIT_NAV_Supplement_Jun2024.txt","data/documents/pdf/NAV_Statement_SREIT_NAV_Supplement_Jun2024.pdf","data/documents/images/NAV_Statement_SREIT_NAV_Supplement_Jun2024","data/documents/grids/NAV_Statement_SREIT_NAV_Supplement_Jun2024.csv"
"5","SRC053","Performance_SREIT_Stockholder_Update_Apr2026.pdf","5","Cash_Flow_Notice","Performance","06-statements-and-economics","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Starwood Real Estate Income Trust, Inc. (SREIT)","87c9c964fe49de6b1c24db4c4a603faa3c79cb6811f992111c77ea1f404b92f8","data/documents/txt/Performance_SREIT_Stockholder_Update_Apr2026.txt","data/documents/pdf/Performance_SREIT_Stockholder_Update_Apr2026.pdf","data/documents/images/Performance_SREIT_Stockholder_Update_Apr2026","data/documents/grids/Performance_SREIT_Stockholder_Update_Apr2026.csv"
"6","SRC473","Distribution_CalPERS_Private_Equity_Cash_Flow_Examples_2015.pdf","13","Cash_Flow_Notice","Distribution","06-statements-and-economics","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","California Public Employees' Retirement System","4dda0aa7a494a69e7cdf2b0192fae6cc0fbafef014b6ea23bc5568dee5626c37","data/documents/txt/Distribution_CalPERS_Private_Equity_Cash_Flow_Examples_2015.txt","data/documents/pdf/Distribution_CalPERS_Private_Equity_Cash_Flow_Examples_2015.pdf","data/documents/images/Distribution_CalPERS_Private_Equity_Cash_Flow_Examples_2015","data/documents/grids/Distribution_CalPERS_Private_Equity_Cash_Flow_Examples_2015.csv"
