matrix,rows,columns,contexts,status,detail
lineage-delimiter-rules,1,5,1,PASS,
lineage-ignored-fields,5,5,1,PASS,
load-null-policy,1,5,1,PASS,
manager-auto-settle-rules,6,5,1,PASS,
manager-locus-labels,15,5,1,PASS,
manager-master-field-precedence,5,6,2,PASS,
manager-master-source-precedence,3,6,1,PASS,
manifest-roles,2,5,1,PASS,
market-promotion-statuses,2,5,1,PASS,
measurability-rule,5,6,2,PASS,
metric-catalogue-status,2,5,1,PASS,
metric-identifier-rules,2,5,1,PASS,
metric-measure-basis,50,7,8,PASS,
metric-semantic-map,42,19,1,PASS,
metric-to-cashflow-type,10,5,1,PASS,
metric-to-holding-column,9,5,1,PASS,
metric-to-period-column,18,7,1,PASS,
metric-value-kind-policy,1,5,1,PASS,
metric-vocabulary,90,10,1,PASS,
mock-defect-rate,1,5,1,PASS,
model-attribution,35,6,2,PASS,
money-detection,3,5,1,PASS,
month-names,12,5,1,PASS,
name-hint-policy,4,5,1,PASS,
name-keyword-strategy,9,6,1,PASS,
name-match-key,2,5,1,PASS,
name-status-policy,2,5,1,PASS,
new-fund-master-defaults,2,5,1,PASS,
new-fund-master-fields,3,5,1,PASS,
non-names,7,5,1,PASS,
null-like-values,11,5,1,PASS,
number-format-rules,2,5,1,PASS,
number-pattern,1,5,1,PASS,
numeric-serialization,3,6,2,PASS,
numeric-text-format,2,5,1,PASS,
numeric-token,7,5,1,PASS,
observation-columns,72,6,1,PASS,
observation-field-precedence,6,6,3,PASS,
ocr-settings,5,5,1,PASS,
page-data-status,1,5,1,PASS,
page-row-precedence,1,5,1,PASS,
page-status-classification,1,5,1,PASS,
pair-key,6,6,1,PASS,
pair-realignment,10,6,3,PASS,
parameter-input-key-map,1,5,1,PASS,
parameter-provenance-policy,2,5,1,PASS,
parameter-status-defaults,3,5,1,PASS,
parameter-unit-map,2,5,1,PASS,
path-normalization,2,5,1,PASS,
period-column-value-kind,19,5,1,PASS,
period-completion-parameters,26,6,6,PASS,
period-selection-order,2,5,1,PASS,
pipeline-gates,2,5,1,PASS,
pipeline-runtime-defaults,4,5,1,PASS,
portfolio-perspective,1,5,1,PASS,
position-key,4,5,1,PASS,
presentation-patterns,33,6,4,PASS,
printed-label-to-category,15,6,14,PASS,
printed-number-words,21,5,1,PASS,
printed-precision-fields,8,5,1,PASS,
printed-precision-policy,3,6,2,PASS,
printed-tokens,26,6,3,PASS,
promotion-decision-policy,5,6,1,PASS,
promotion-evidence-precedence,2,6,1,PASS,
promotion-fixed-fields,27,6,9,PASS,
promotion-gate-route,1,5,1,PASS,
promotion-gated-tables,9,7,1,PASS,
promotion-missing-table-policy,1,5,1,PASS,
promotion-schema-additions,21,5,1,PASS,
provenance-assignment,5,5,1,PASS,
provenance-gate-scope,1,5,1,PASS,
provenance-vocabulary,4,5,1,PASS,
public-market-benchmark-defaults,10,5,1,PASS,
public-market-column-map,4,6,2,PASS,
public-market-copy-action,3,5,1,PASS,
public-market-date-columns,11,5,1,PASS,
public-market-duplicate-policy,3,5,1,PASS,
public-market-file-filters,2,5,1,PASS,
public-market-identifiers,8,6,6,PASS,
public-market-parsing-rules,4,6,2,PASS,
public-market-quality-rules,8,5,1,PASS,
public-market-quality-status,2,5,1,PASS,
public-market-rights-policy,1,5,1,PASS,
public-market-rights-status,4,5,1,PASS,
public-market-row-filters,3,5,1,PASS,
public-market-source-priority,2,5,1,PASS,
public-market-source-selection,19,14,1,PASS,
public-market-status-map,3,5,1,PASS,
public-market-summary-rules,2,5,1,PASS,
public-market-timezone-status,4,5,1,PASS,
quality-approval-policy,3,5,1,PASS,
quality-default-tolerances,4,5,1,PASS,
