"work_order","file_id","filename","page_count","canonical_doc_type","source_header_doc_type","route","product_tier","routing_status","routing_reason","issuer","source_sha256","txt_path","pdf_path","image_dir","grid_path"
"1","SRC060","Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.pdf","2","Performance","Performance","02-performance","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Oregon Public Employees Retirement Fund (Oregon State Treasury)","716b2b3028d4222c5bd8dbe183698cc7ea61e5f7a4d37e799da36d64c0e2dac3","data/documents/txt/Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.txt","data/documents/pdf/Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.pdf","data/documents/images/Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022","data/documents/grids/Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.csv"
"2","SRC063","Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.pdf","2","Performance","Performance","02-performance","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","California Public Employees' Retirement System (CalPERS)","f27235b5cbd2148f78e6d7d010017b38e2807611735e9229375986a38db2db38","data/documents/txt/Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.txt","data/documents/pdf/Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.pdf","data/documents/images/Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023","data/documents/grids/Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.csv"
"3","SRC363","Performance_University_of_Michigan_Endowment_Fund_Profile_Jun2024.pdf","2","Performance","Performance","02-performance","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","University of Michigan","37f3b1a46d11cdb22e38d276fda163e197904df1b0793d02a7af3ad40c050277","data/documents/txt/Performance_University_of_Michigan_Endowment_Fund_Profile_Jun2024.txt","data/documents/pdf/Performance_University_of_Michigan_Endowment_Fund_Profile_Jun2024.pdf","data/documents/images/Performance_University_of_Michigan_Endowment_Fund_Profile_Jun2024","data/documents/grids/Performance_University_of_Michigan_Endowment_Fund_Profile_Jun2024.csv"
"4","SRC035","Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf","3","Performance","Performance","02-performance","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Meketa Investment Group (for Oregon State Treasury / Oregon Growth Account)","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","data/documents/txt/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.txt","data/documents/pdf/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf","data/documents/images/Performance_Oregon_Growth_Account_VC_Program_Q4_2021","data/documents/grids/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.csv"
"5","SRC058","Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.pdf","3","Performance","Quarterly_Report","02-performance","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Oregon Public Employees Retirement Fund (Oregon State Treasury)","504abfe06fcde5e187ef74247e28f97eecec00313f5079c91e05fbdaea023159","data/documents/txt/Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.txt","data/documents/pdf/Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.pdf","data/documents/images/Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024","data/documents/grids/Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.csv"
