wide_row_id,document_id,route,canonical_doc_type,page_id,source_page,source_section,source_table,source_row_label,source_occurrence,column_group,subject_type,subject_alias_id,subject_entity_id,subject_name,subject_standardized_name,subject_manager_name,asset_class,strategy,geography,vintage_year,horizon,as_of_date_raw,as_of_date,period_start,period_end,currency,unit_scale,unit_scale_multiplier,key_person,gp_removal,no_fault_termination,mfn,reporting,transfer,tax,governing_law,confidentiality,notice,fund_term,term_extension,observation_ids,observation_count,unparsed_values,scale_note,collision_note
33a0053e8dacb5e17c9d,SRC612,05-fund-legal-docs,LPA,9b6be1533bad110abc28,10,14. Soft Dollars Report,,14. Soft Dollars Report,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,,,REDACTED,,,,,,,,909e2d475e9b2d35fafe,1,,,
9a236a640542a29c80bd,SRC612,05-fund-legal-docs,LPA,368dd454de05590ce91b,11,16. Assignment or Other Transfer,,16. Assignment or Other Transfer,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,,,,"The rights and obligations of MANAGER under this Agreement, including any interest herein or any claim arising hereunder, may not be assigned by it, in whole or in part, whether to any Affiliate of MANAGER or to any other party or parties, and whether voluntarily or by operation of law, and whether by sale, merger, division, consolidation, encumbrance or sale of stock, or otherwise, without the prior written consent of SERS, which consent SERS may grant or withhold in its sole and absolute discretion. Any assignment or attempted assignment in contravention of this Section 16 shall be null and void ab initio.",,,,,,,40d14d98a72274cad4d6,1,,,
ce72bad040d2f45b4333,SRC612,05-fund-legal-docs,LPA,368dd454de05590ce91b,11,"18. Maintenance, Preservation and Review of Records",,"18. Maintenance, Preservation and Review of Records",1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,,,"MANAGER shall maintain such records, books and accounts pertaining to services and payments hereunder in accordance with generally accepted accounting principles consistently applied. All such records, books and accounts shall be maintained and preserved for the longer of: (a) the term of this Agreement, or (b) four (4) years after their creation. During such period, SERS or any other department or representative of the Commonwealth of Pennsylvania, from time to time upon reasonable notice, shall have the right to inspect, duplicate and audit such records, books and accounts for all purposes authorized and permitted by law.",,,,,,,,7108b0baa8c4a0efd79e,1,,,
bc40a81b16a2b96dac71,SRC612,05-fund-legal-docs,LPA,f6768403d8b1ac891e8f,12,19. Notices,,19. Notices,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,,,,,,,,"Any notice, demand, direction, instruction and other communications required or permitted hereunder shall be confirmed in writing and shall be sufficiently given for all purposes when sent (a) by certified or registered U.S. mail, postage prepaid, (b) by a nationally recognized courier service that maintains written verification of actual delivery, (c) by facsimile or email with a copy of the communication sent by first class U.S. mail, postage prepaid (provided that if the date of dispatch is not a business day, the facsimile or email shall be deemed to have been received at the opening of business of the addressee on the next business day) or, (d) by delivering the same in person to any party at the following addresses or such other addresses as may be designated from time to time by the parties.",,,4fc0255cfcd800b1a74f,1,,,
3312d155e8b9b758075a,SRC612,05-fund-legal-docs,LPA,7ce13f4464e19076d5ca,13,20. Expiration and Termination,,(b) Termination,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,"MANAGER may terminate this Agreement by furnishing written notice to SERS not less than one hundred twenty (120) days prior to the effective date of termination, and SERS reserves the right to terminate this Agreement at any time, for any reason, by furnishing written notice to MANAGER, whereupon, and in either of such events MANAGER's fees for services under this Agreement shall be prorated and paid, provided that notwithstanding any other provision of this Agreement, SERS may withhold such payment of fees until MANAGER has fully complied, in SERS' sole discretion, with subsection (d) below.",,,,,,,,,,3c8ed337e6cc6e3b0ee7,1,,,
0ad71047aa2077ba0b81,SRC612,05-fund-legal-docs,LPA,7ce13f4464e19076d5ca,13,20. Expiration and Termination,,(d) Final Report,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,,,"MANAGER shall furnish to SERS, within thirty (30) days of the effective date of termination or expiration of this Agreement or the voidance of this Agreement pursuant to Section 8(d), a final report on its investment activities and the status of the Fund's assets allocated to MANAGER in such form and format as requested by SERS' staff.",,,,,,,,1ea37a4fa35a29fc99b6,1,,,
5d4c28f8c4cf52d14c45,SRC612,05-fund-legal-docs,LPA,5152a2462a2e2fb7dcd5,14,21. Applicable Law,,21. Applicable Law,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,,,,,,"This Agreement shall be governed by and interpreted and enforced in accordance with the laws of the Commonwealth of Pennsylvania (without regard to any conflict of laws provisions) including Pennsylvania's Right-to-Know Law, 65 P.S. 67.101-3104. MANAGER hereby (a) consents to exclusive jurisdiction in any court of the Commonwealth of Pennsylvania, any federal courts in Pennsylvania, and the Board of Claims (""Board of Claims"") of the Commonwealth of Pennsylvania, hereby waiving any claim or defense that such forum is not convenient or proper and (b) agrees that any claim asserted against SERS shall only be brought before and subject to the exclusive jurisdiction of the Board of Claims pursuant to Section 1721 et seq. of Title 62 of Pa. Statutes. MANAGER agrees that the Board of Claims and any such court shall have in personam jurisdiction over it, and consents to service of process in any manner authorized by Pennsylvania law.",,,,,f0ef3e1bffdc892884c7,1,,,
edb6adbcef350c26f5c2,SRC612,05-fund-legal-docs,LPA,702fc1281153bd0fe96e,25,D. Investment Advisors,,3.,1,,service_provider,44e086db229f5aa8918f,MGR_0114,public markets investment advisors,public markets investment advisors,,,,,,,,,,,,absolute,1,,,,,"To report to the Board at least quarterly through the Investment Office, with the exact frequency and format of reporting to be determined by the Investment Office, on the composition and relative performance of the investments in their designated portfolios; the economic and investment outlook for the near and long term; significant changes in the portfolio during the preceding period; and the reasons for any significant differences between the performance of their portfolios and the appropriate market indices or metrics.",,,,,,,,bb26cc2748692f091110,1,,,
7f9e77493dba35a558a8,SRC612,05-fund-legal-docs,LPA,110e6ca1cee7e8c628d0,3,3. MANAGER's Services,,(e) Reports,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,,,"MANAGER shall furnish to SERS, or others, as SERS shall more specifically direct in writing hereafter, periodic reports on the status, composition, and performance of the assets managed by MANAGER. MANAGER shall also cause to be forwarded to the State Treasurer's subcustodian, and upon request to the State Treasurer, copies of all trade confirmations promptly after execution of transactions for SERS' account.",,,,,,,,517652a989e2733cd5ed,1,,,
7185187d3acc8a20b457,SRC612,05-fund-legal-docs,LPA,cf9aa1ad30f355a5130f,4,3. MANAGER's Services,,(f) Information to be Furnished,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,,,"MANAGER shall furnish to SERS upon request information concerning assets and asset classes in which MANAGER will invest for and on behalf of SERS, including, inter alia, identification of purchase or sale opportunities and an overview of specific market conditions.",,,,,,,,8dc63bf5813c8b5108ab,1,,,
ea524f3cc4cdd0c54a12,SRC612,05-fund-legal-docs,LPA,cf9aa1ad30f355a5130f,4,3. MANAGER's Services,,(i) Class Actions,1,,clause_party,f4ea464e856a3e99da0e,,MANAGER,,,,,,,,,,,,,absolute,1,,,,,,,,,,"MANAGER shall notify SERS within five (5) business days of its receipt of a Notice of Pending Class Action or Notice of Class Action Settlement in which SERS is or may be eligible to participate. With regard to Notices of Class Action Settlement, MANAGER shall also provide the appropriate class action Claims Administrator with contact information for the Custodian, or such other party as SERS may designate from time to time, to enable such Claims Administrator to send any applicable materials directly to the Custodian.",,,d0a45a05e758c4068157,1,,,
